Symbol,Name,WKN,Typ,Kaufdatum,Kaufkurs €,Stück,Stop €,Ziel €,Notiz
LINK-USD,Chainlink,-,Krypto,2026-04-02,7.727808434426262,1.0,,,Aus Signal übernommen
NIO,NIO,A2N4PB,Aktie,2026-04-02,5.34626007048802,1.0,4.915602701466077,6.099910013982063,Aus Signal übernommen
